,o_cz,o_cz_name,o_state_name
8169525,27701,Scottsbluff,Nebraska
8188050,27702,Cheyenne,Wyoming
8206575,27703,Torrington,Wyoming
8225100,27704,Gordon,South Dakota
8243625,27801,Virginia Beach,Nebraska
8262150,27802,Columbus,Nebraska
8280675,27901,Hastings,Nebraska
8299200,27902,York,Nebraska
8317725,27903,Grand Island,Nebraska
8336250,28001,Sioux City,Iowa
8354775,28002,West Point,Nebraska
8373300,28101,Lincoln,Nebraska
8391825,28102,Nebraska City,Nebraska
8410350,28201,Red Oak,Iowa
8428875,28202,Omaha,Nebraska
8447400,28301,Sterling,Colorado
8465925,28302,Ogallala,Nebraska
8484450,28303,Oshkosh,Nebraska
8502975,28304,Valentine,Nebraska
8521500,28305,Broken Bow,Nebraska
8540025,28306,North Platte,Nebraska
8558550,28401,Colorado Springs,Colorado
8577075,28402,Limon,Colorado
8595600,28501,Springfield,Colorado
8614125,28502,Pueblo,Colorado
8632650,28503,Trinidad,Colorado
8651175,28504,Burlington,Colorado
8669700,28601,Oberlin,Kansas
8688225,28602,Norton,Kansas
8706750,28603,Phillipsburg,Kansas
8725275,28604,Colby,Kansas
8743800,28605,Goodland,Kansas
8762325,28606,Wano,Kansas
8780850,28607,McCook,Nebraska
8799375,28608,Kearney,Nebraska
8817900,28609,Lexington,Nebraska
8836425,28701,Salida,Colorado
8854950,28702,Glenwood Springs,Colorado
8873475,28703,Granby,Colorado
8892000,28704,Laramie,Wyoming
8910525,28800,Fort Collins,Colorado
8929050,28900,Denver,Colorado
8947575,29001,Pratt,Kansas
8966100,29002,Coldwater,Kansas
8984625,29003,Dodge City,Kansas
9003150,29004,Great Bend,Kansas
9021675,29005,Hutchinson,Kansas
9040200,29006,Hays,Kansas
9058725,29007,Township 11,Kansas
9077250,29008,Center,Kansas
9095775,29101,Concordia,Kansas
9114300,29102,Superior,Nebraska
9132825,29103,Beloit,Kansas
9151350,29104,Salina,Kansas
9169875,29201,Hiawatha,Kansas
9188400,29202,Marysville,Kansas
9206925,29203,Manhattan,Kansas
9225450,29204,Topeka,Kansas
9243975,29301,Wichita,Kansas
9262500,29302,Newton,Kansas
9281025,29303,Winfield,Kansas
9299550,29401,Ottawa,Kansas
9318075,29402,Emporia,Kansas
9336600,29403,Bartlesville,Kansas
9355125,29501,Leavenworth,Kansas
9373650,29502,Kansas City,Missouri
9392175,29503,St. Joseph,Missouri
9410700,29504,Sedalia,Missouri
9429225,29505,Polk,Missouri
9447750,29506,Bethany,Missouri
9466275,29601,Columbia,Missouri
9484800,29602,Eldon,Missouri
9503325,29700,Springfield,Missouri
9521850,29800,Aurora,Missouri
9540375,29901,Joplin,Missouri
9558900,29902,Center,Missouri
9577425,30000,Russellville,Arkansas
9595950,30100,Fort Smith,Arkansas
9614475,30200,Muskogee,Oklahoma
9633000,30300,Fayetteville,Arkansas
9651525,30401,Stillwater,Oklahoma
9670050,30402,Tulsa,Oklahoma
9688575,30403,Okmulgee,Oklahoma
9707100,30501,Woodward,Oklahoma
9725625,30502,Enid,Oklahoma
9744150,30601,El Paso,Texas
9762675,30602,Alamogordo,New Mexico
9781200,30603,Truth or Consequences,New Mexico
9799725,30604,Deming,New Mexico
9818250,30605,Van Horn,Texas
9836775,30701,Roswell,New Mexico
9855300,30702,Santa Rosa,New Mexico
9873825,30801,Hobbs,New Mexico
9892350,30802,Lubbock,Texas
9910875,30901,Clovis,New Mexico
9929400,30902,Littlefield,Texas
9947925,30903,Amarillo,Texas
9966450,30904,Pampa,Texas
9984975,30905,Wellington,Texas
10003500,30906,Memphis,Texas
10022025,30907,Matador,Texas
10040550,30908,Plainview,Texas
10059075,31001,Garden City,Kansas
10077600,31002,Ulysses,Kansas
10096125,31003,Scott City,Kansas
10114650,31004,Liberal,Kansas
10133175,31005,Perryton,Texas
10151700,31006,Guymon,Oklahoma
10170225,31007,Dumas,Texas
10188750,31101,Victoria,Texas
10207275,31102,La Grange,Texas
10225800,31103,Gonzales,Texas
10244325,31201,Austin,Texas
10262850,31202,Burnet,Texas
10281375,31301,San Antonio,Texas
10299900,31302,Beeville,Texas
10318425,31303,Kerrville,Texas
10336950,31304,Mason,Texas
10355475,31401,Midland,Texas
10374000,31402,Pecos,Texas
10392525,31403,Fort Stockton,Texas
10411050,31404,Alpine,Texas
10429575,31501,Crystal City,Texas
10448100,31502,Pearsall,Texas
10466625,31503,Laredo,Texas
10485150,31600,Brownsville,Texas
10503675,31700,Corpus Christi,Texas
10522200,31800,College Station,Texas
10540725,31900,Pearland,Texas
10559250,32000,Houston,Texas
10577775,32100,Beaumont,Texas
10596300,32201,Huntsville,Texas
10614825,32202,Nacogdoches,Texas
10633350,32301,San Angelo,Texas
10651875,32302,Brady,Texas
10670400,32303,Junction,Texas
10688925,32304,Uvalde,Texas
10707450,32305,Del Rio,Texas
10725975,32306,Eagle Pass,Texas
10744500,32401,Big Spring,Texas
10763025,32402,Sweetwater,Texas
10781550,32403,Snyder,Texas
10800075,32501,Abilene,Texas
10818600,32502,Childress,Texas
10837125,32503,Haskell,Texas
10855650,32601,Wichita Falls,Texas
10874175,32602,Graham,Texas
10892700,32603,Seymour,Texas
10911225,32604,Vernon,Texas
10929750,32701,Brownwood,Texas
10948275,32702,Stephenville,Texas
10966800,32801,Waco,Texas
10985325,32802,Corsicana,Texas
11003850,32900,Killeen,Texas
11022375,33000,Fort Worth,Texas
11040900,33100,Dallas,Texas
11059425,33200,Paris,Texas
11077950,33300,Tyler,Texas
11096475,33400,Longview,Texas
11115000,33500,Texarkana,Texas
11133525,33601,Lawton,Oklahoma
11152050,33602,Altus,Oklahoma
11170575,33603,Frederick,Oklahoma
11189100,33700,Ardmore,Oklahoma
11207625,33801,Elk City,Oklahoma
11226150,33802,Chickasha,Oklahoma
11244675,33803,Oklahoma City,Oklahoma
11263200,33901,Ada,Oklahoma
11281725,33902,Sherman,Texas
11300250,34001,Hot Springs,Arkansas
11318775,34002,Idabel,Oklahoma
11337300,34101,Sand Point,Alaska
11355825,34102,Anchorage,Alaska
11374350,34103,Valdez,Alaska
11392875,34104,Bristol Bay,Alaska
11411400,34105,Kotzebue,Alaska
11429925,34106,Nome,Alaska
11448450,34107,Dillingham,Alaska
11466975,34108,Kodiak,Alaska
11485500,34109,Juneau,Alaska
11504025,34110,Sitka,Alaska
11522550,34111,Ketchikan,Alaska
11541075,34112,Bethel,Alaska
11559600,34113,Barrow,Alaska
11578125,34114,Unalaska,Alaska
11596650,34115,Fairbanks,Alaska
11615175,34201,Havre,Montana
11633700,34202,Shelby,Montana
11652225,34203,Great Falls,Montana
11670750,34204,Lewistown,Montana
11689275,34301,Cody,Wyoming
11707800,34302,Worland,Wyoming
11726325,34303,Riverton,Wyoming
11744850,34304,Sheridan,Wyoming
11763375,34305,Miles City,Montana
11781900,34306,Jordan,Montana
11800425,34307,Colstrip,Montana
11818950,34308,Billings,Montana
11837475,34309,Harlowton,Montana
11856000,34401,Dillon,Montana
11874525,34402,Bozeman,Montana
11893050,34403,Helena,Montana
11911575,34404,Butte-Silver Bow,Montana
11930100,34501,Bonners Ferry,Idaho
11948625,34502,Libby,Montana
11967150,34503,Kalispell,Montana
11985675,34504,Missoula,Montana
12004200,34601,Gillette,Wyoming
12022725,34602,Rawlins,Wyoming
12041250,34603,Casper,Wyoming
12059775,34604,Lusk,Wyoming
12078300,34701,Honolulu,Hawaii
12096825,34702,Kapaa,Hawaii
12115350,34703,Kahului,Hawaii
12133875,34801,Las Vegas,New Mexico
12152400,34802,Santa Fe,New Mexico
12170925,34803,Tucumcari,New Mexico
12189450,34804,Clayton,New Mexico
12207975,34805,Alamosa,Colorado
12226500,34901,Albuquerque,New Mexico
12245025,34902,Socorro,New Mexico
12263550,35001,Phoenix,Arizona
12282075,35002,Safford,Arizona
12300600,35100,Tucson,Arizona
12319125,35201,Grand Junction,Colorado
12337650,35202,Gunnison,Colorado
12356175,35300,Farmington,New Mexico
12374700,35401,Flagstaff,Arizona
12393225,35402,Cortez,Colorado
12411750,35500,Gallup,Arizona
12430275,35600,Hilo,Hawaii
12448800,35701,Twin Falls,Idaho
12467325,35702,Burley,Idaho
12485850,35801,Boise City,Idaho
12504375,35802,Ontario,Oregon
12522900,35803,McCall,Idaho
12541425,35901,St. George,Utah
12559950,35902,Price,Utah
12578475,35903,Moab,Utah
12597000,35904,Richfield,Utah
12615525,35905,Loa,Utah
12634050,36000,Provo,Utah
12652575,36100,Salt Lake City,Utah
12671100,36200,Logan,Utah
12689625,36301,Pocatello,Idaho
12708150,36302,Salmon,Idaho
12726675,36303,Jackson,Wyoming
12745200,36401,Steamboat Springs,Colorado
12763725,36402,Vernal,Utah
