o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool
39203,Bend,Oregon,32602,Graham,Texas,0,67,33,Black
39203,Bend,Oregon,27302,Fairmont,Minnesota,0,67,31,Black
39203,Bend,Oregon,9100,Atlanta,Georgia,0,67,205751,Black
39203,Bend,Oregon,30801,Hobbs,New Mexico,0,67,348,Black
39203,Bend,Oregon,14000,Muncie,Indiana,0,67,2602,Black
39203,Bend,Oregon,3902,Lake Providence,Louisiana,0,67,614,Black
39203,Bend,Oregon,1500,Wilmington,North Carolina,1,67,8091,Black
39203,Bend,Oregon,12901,Lexington-Fayette,Kentucky,0,67,6953,Black
39203,Bend,Oregon,12501,Dayton,Ohio,0,67,16524,Black
39203,Bend,Oregon,10600,Jasper,Alabama,0,67,965,Black
39203,Bend,Oregon,14300,Columbus,Indiana,0,67,297,Black
39203,Bend,Oregon,10802,Demopolis,Alabama,0,67,3180,Black
39203,Bend,Oregon,4501,West Liberty,Kentucky,0,67,16,Black
39203,Bend,Oregon,17900,Union,New York,0,67,1246,Black
39203,Bend,Oregon,32601,Wichita Falls,Texas,0,67,1442,Black
39203,Bend,Oregon,26004,International Falls,Minnesota,0,67,10,Black
39203,Bend,Oregon,21302,Owatonna,Minnesota,0,67,181,Black
39203,Bend,Oregon,27005,Yankton,South Dakota,0,67,30,Black
39203,Bend,Oregon,28502,Pueblo,Colorado,0,67,351,Black
39203,Bend,Oregon,25101,Mountain Home,Arkansas,0,67,30,Black
39203,Bend,Oregon,4103,El Dorado,Arkansas,0,67,3005,Black
39203,Bend,Oregon,7200,Cape Coral,Florida,0,67,6262,Black
39203,Bend,Oregon,35100,Tucson,Arizona,0,67,4191,Black
39203,Bend,Oregon,31402,Pecos,Texas,0,67,93,Black
39203,Bend,Oregon,26803,Jamestown,North Dakota,0,67,43,Black
39203,Bend,Oregon,26504,Watertown,South Dakota,0,67,22,Black
39203,Bend,Oregon,11303,Colonial Beach,Virginia,0,67,1705,Black
39203,Bend,Oregon,26501,Brookings,South Dakota,0,67,31,Black
