,o_state_name,d_state_name,n
568,Hawaii,DC,656
569,Hawaii,Delaware,33
570,Hawaii,Florida,1141
571,Hawaii,Georgia,652
572,Hawaii,Hawaii,84891
573,Hawaii,Idaho,227
574,Hawaii,Illinois,403
575,Hawaii,Indiana,206
576,Hawaii,Iowa,93
577,Hawaii,Kansas,154
578,Hawaii,Kentucky,118
579,Hawaii,Louisiana,187
580,Hawaii,Maine,44
581,Hawaii,Maryland,178
582,Hawaii,Massachusetts,358
583,Hawaii,Michigan,219
584,Hawaii,Minnesota,180
585,Hawaii,Mississippi,88
586,Hawaii,Missouri,370
587,Hawaii,Montana,127
588,Hawaii,Nebraska,178
589,Hawaii,Nevada,3192
590,Hawaii,New Hampshire,37
591,Hawaii,New Jersey,122
592,Hawaii,New Mexico,203
593,Hawaii,New York,1076
594,Hawaii,North Carolina,673
595,Hawaii,North Dakota,92
596,Hawaii,Ohio,318
597,Hawaii,Oklahoma,267
598,Hawaii,Oregon,2294
599,Hawaii,Pennsylvania,310
600,Hawaii,Rhode Island,52
601,Hawaii,South Carolina,204
602,Hawaii,South Dakota,51
603,Hawaii,Tennessee,367
604,Hawaii,Texas,2207
605,Hawaii,Utah,1106
606,Hawaii,Vermont,29
607,Hawaii,Virginia,543
608,Hawaii,Washington,3699
609,Hawaii,West Virginia,19
610,Hawaii,Wisconsin,178
611,Hawaii,Wyoming,89
612,Idaho,Alabama,144
613,Idaho,Alaska,534
614,Idaho,Arizona,1770
615,Idaho,Arkansas,178
616,Idaho,California,4262
617,Idaho,Colorado,1707
618,Idaho,Connecticut,88
619,Idaho,DC,442
620,Idaho,Delaware,23
621,Idaho,Florida,783
622,Idaho,Georgia,386
623,Idaho,Hawaii,316
624,Idaho,Idaho,95296
625,Idaho,Illinois,409
626,Idaho,Indiana,218
627,Idaho,Iowa,206
628,Idaho,Kansas,226
629,Idaho,Kentucky,113
630,Idaho,Louisiana,163
631,Idaho,Maine,42
632,Idaho,Maryland,119
633,Idaho,Massachusetts,264
634,Idaho,Michigan,263
635,Idaho,Minnesota,341
636,Idaho,Mississippi,71
637,Idaho,Missouri,422
638,Idaho,Montana,1308
639,Idaho,Nebraska,293
640,Idaho,Nevada,1318
641,Idaho,New Hampshire,44
642,Idaho,New Jersey,49
643,Idaho,New Mexico,306
644,Idaho,New York,577
645,Idaho,North Carolina,516
646,Idaho,North Dakota,540
647,Idaho,Ohio,336
648,Idaho,Oklahoma,354
649,Idaho,Oregon,4149
650,Idaho,Pennsylvania,341
651,Idaho,Rhode Island,32
652,Idaho,South Carolina,187
653,Idaho,South Dakota,130
654,Idaho,Tennessee,362
655,Idaho,Texas,2021
656,Idaho,Utah,7592
657,Idaho,Vermont,31
658,Idaho,Virginia,426
659,Idaho,Washington,7355
660,Idaho,West Virginia,30
661,Idaho,Wisconsin,191
662,Idaho,Wyoming,910
663,Illinois,Alabama,2431
664,Illinois,Alaska,867
665,Illinois,Arizona,10391
666,Illinois,Arkansas,2607
667,Illinois,California,24983
668,Illinois,Colorado,13194
669,Illinois,Connecticut,1022
670,Illinois,DC,5964
671,Illinois,Delaware,303
672,Illinois,Florida,17050
673,Illinois,Georgia,9025
674,Illinois,Hawaii,1388
675,Illinois,Idaho,564
676,Illinois,Illinois,1042374
677,Illinois,Indiana,26824
678,Illinois,Iowa,13423
679,Illinois,Kansas,1768
680,Illinois,Kentucky,4608
681,Illinois,Louisiana,2289
682,Illinois,Maine,253
683,Illinois,Maryland,1334
684,Illinois,Massachusetts,3239
685,Illinois,Michigan,7437
686,Illinois,Minnesota,8478
687,Illinois,Mississippi,2151
688,Illinois,Missouri,25175
689,Illinois,Montana,900
690,Illinois,Nebraska,1892
691,Illinois,Nevada,3629
692,Illinois,New Hampshire,346
693,Illinois,New Jersey,1480
694,Illinois,New Mexico,1130
695,Illinois,New York,9968
696,Illinois,North Carolina,6817
697,Illinois,North Dakota,852
698,Illinois,Ohio,6619
699,Illinois,Oklahoma,2394
700,Illinois,Oregon,2921
701,Illinois,Pennsylvania,3593
702,Illinois,Rhode Island,319
703,Illinois,South Carolina,2279
704,Illinois,South Dakota,618
705,Illinois,Tennessee,9688
706,Illinois,Texas,21302
707,Illinois,Utah,1683
708,Illinois,Vermont,230
709,Illinois,Virginia,3672
710,Illinois,Washington,6018
711,Illinois,West Virginia,321
712,Illinois,Wisconsin,24001
713,Illinois,Wyoming,609
714,Indiana,Alabama,1704
715,Indiana,Alaska,618
716,Indiana,Arizona,3797
717,Indiana,Arkansas,1106
718,Indiana,California,10418
719,Indiana,Colorado,5488
720,Indiana,Connecticut,564
721,Indiana,DC,2720
722,Indiana,Delaware,196
723,Indiana,Florida,11574
724,Indiana,Georgia,5188
725,Indiana,Hawaii,804
726,Indiana,Idaho,314
727,Indiana,Illinois,21594
728,Indiana,Indiana,589506
729,Indiana,Iowa,1172
730,Indiana,Kansas,848
731,Indiana,Kentucky,9664
732,Indiana,Louisiana,1266
733,Indiana,Maine,179
734,Indiana,Maryland,777
735,Indiana,Massachusetts,1269
736,Indiana,Michigan,10759
737,Indiana,Minnesota,1928
738,Indiana,Mississippi,803
739,Indiana,Missouri,4049
740,Indiana,Montana,435
741,Indiana,Nebraska,675
742,Indiana,Nevada,1364
743,Indiana,New Hampshire,218
744,Indiana,New Jersey,566
745,Indiana,New Mexico,566
746,Indiana,New York,3709
747,Indiana,North Carolina,5135
748,Indiana,North Dakota,400
749,Indiana,Ohio,12778
750,Indiana,Oklahoma,1348
751,Indiana,Oregon,1561
752,Indiana,Pennsylvania,2506
753,Indiana,Rhode Island,170
754,Indiana,South Carolina,2116
755,Indiana,South Dakota,285
756,Indiana,Tennessee,7045
757,Indiana,Texas,10393
758,Indiana,Utah,1031
759,Indiana,Vermont,153
760,Indiana,Virginia,2481
761,Indiana,Washington,3147
762,Indiana,West Virginia,355
763,Indiana,Wisconsin,3034
764,Indiana,Wyoming,352
765,Iowa,Alabama,318
766,Iowa,Alaska,267
767,Iowa,Arizona,2262
768,Iowa,Arkansas,538
769,Iowa,California,4385
770,Iowa,Colorado,5150
771,Iowa,Connecticut,184
772,Iowa,DC,975
773,Iowa,Delaware,60
774,Iowa,Florida,2441
775,Iowa,Georgia,1109
776,Iowa,Hawaii,289
777,Iowa,Idaho,273
778,Iowa,Illinois,9964
779,Iowa,Indiana,1049
780,Iowa,Iowa,236517
781,Iowa,Kansas,1030
782,Iowa,Kentucky,385
783,Iowa,Louisiana,414
784,Iowa,Maine,91
785,Iowa,Maryland,273
786,Iowa,Massachusetts,477
787,Iowa,Michigan,895
788,Iowa,Minnesota,7693
789,Iowa,Mississippi,205
790,Iowa,Missouri,6235
791,Iowa,Montana,364
792,Iowa,Nebraska,7237
793,Iowa,Nevada,651
794,Iowa,New Hampshire,93
795,Iowa,New Jersey,168
796,Iowa,New Mexico,305
797,Iowa,New York,1417
798,Iowa,North Carolina,1397
799,Iowa,North Dakota,522
800,Iowa,Ohio,931
801,Iowa,Oklahoma,847
802,Iowa,Oregon,977
803,Iowa,Pennsylvania,603
804,Iowa,Rhode Island,61
805,Iowa,South Carolina,466
806,Iowa,South Dakota,3425
807,Iowa,Tennessee,1234
808,Iowa,Texas,4397
809,Iowa,Utah,558
810,Iowa,Vermont,51
811,Iowa,Virginia,692
812,Iowa,Washington,1644
813,Iowa,West Virginia,76
814,Iowa,Wisconsin,3365
815,Iowa,Wyoming,329
816,Kansas,Alabama,384
817,Kansas,Alaska,286
818,Kansas,Arizona,1394
819,Kansas,Arkansas,1371
820,Kansas,California,3314
821,Kansas,Colorado,5075
822,Kansas,Connecticut,142
823,Kansas,DC,723
824,Kansas,Delaware,64
825,Kansas,Florida,2017
826,Kansas,Georgia,1211
827,Kansas,Hawaii,276
828,Kansas,Idaho,248
829,Kansas,Illinois,1442
830,Kansas,Indiana,575
831,Kansas,Iowa,892
832,Kansas,Kansas,164579
833,Kansas,Kentucky,343
834,Kansas,Louisiana,520
835,Kansas,Maine,57
836,Kansas,Maryland,219
837,Kansas,Massachusetts,299
838,Kansas,Michigan,481
839,Kansas,Minnesota,624
840,Kansas,Mississippi,214
841,Kansas,Missouri,20150
842,Kansas,Montana,255
843,Kansas,Nebraska,2535
844,Kansas,Nevada,521
845,Kansas,New Hampshire,57
846,Kansas,New Jersey,126
847,Kansas,New Mexico,500
848,Kansas,New York,1030
849,Kansas,North Carolina,1147
850,Kansas,North Dakota,257
851,Kansas,Ohio,639
852,Kansas,Oklahoma,7159
853,Kansas,Oregon,784
854,Kansas,Pennsylvania,584
855,Kansas,Rhode Island,49
856,Kansas,South Carolina,382
857,Kansas,South Dakota,284
858,Kansas,Tennessee,964
859,Kansas,Texas,8138
860,Kansas,Utah,491
861,Kansas,Vermont,37
862,Kansas,Virginia,695
863,Kansas,Washington,1510
864,Kansas,West Virginia,59
865,Kansas,Wisconsin,477
866,Kansas,Wyoming,304
867,Kentucky,Alabama,1342
868,Kentucky,Alaska,269
869,Kentucky,Arizona,829
870,Kentucky,Arkansas,497
871,Kentucky,California,3243
872,Kentucky,Colorado,1619
873,Kentucky,Connecticut,214
874,Kentucky,DC,1528
875,Kentucky,Delaware,111
876,Kentucky,Florida,5355
877,Kentucky,Georgia,3135
878,Kentucky,Hawaii,377
879,Kentucky,Idaho,131
880,Kentucky,Illinois,2795
881,Kentucky,Indiana,7344
882,Kentucky,Iowa,238
883,Kentucky,Kansas,412
884,Kentucky,Kentucky,353626
885,Kentucky,Louisiana,764
886,Kentucky,Maine,77
887,Kentucky,Maryland,452
888,Kentucky,Massachusetts,544
889,Kentucky,Michigan,1140
890,Kentucky,Minnesota,336
891,Kentucky,Mississippi,519
892,Kentucky,Missouri,1641
893,Kentucky,Montana,146
894,Kentucky,Nebraska,182
895,Kentucky,Nevada,444
896,Kentucky,New Hampshire,93
897,Kentucky,New Jersey,232
898,Kentucky,New Mexico,241
899,Kentucky,New York,1849
900,Kentucky,North Carolina,3017
901,Kentucky,North Dakota,177
902,Kentucky,Ohio,9307
903,Kentucky,Oklahoma,594
904,Kentucky,Oregon,481
905,Kentucky,Pennsylvania,1127
906,Kentucky,Rhode Island,83
907,Kentucky,South Carolina,1418
908,Kentucky,South Dakota,93
909,Kentucky,Tennessee,10672
910,Kentucky,Texas,4019
911,Kentucky,Utah,385
912,Kentucky,Vermont,80
913,Kentucky,Virginia,1768
914,Kentucky,Washington,1046
915,Kentucky,West Virginia,2159
916,Kentucky,Wisconsin,516
917,Kentucky,Wyoming,158
918,Louisiana,Alabama,2256
919,Louisiana,Alaska,312
920,Louisiana,Arizona,931
921,Louisiana,Arkansas,2880
922,Louisiana,California,5120
923,Louisiana,Colorado,2289
924,Louisiana,Connecticut,211
925,Louisiana,DC,1483
926,Louisiana,Delaware,105
927,Louisiana,Florida,4772
928,Louisiana,Georgia,5323
929,Louisiana,Hawaii,431
930,Louisiana,Idaho,125
931,Louisiana,Illinois,1286
932,Louisiana,Indiana,640
933,Louisiana,Iowa,265
934,Louisiana,Kansas,494
935,Louisiana,Kentucky,616
936,Louisiana,Louisiana,440909
937,Louisiana,Maine,72
938,Louisiana,Maryland,400
939,Louisiana,Massachusetts,484
940,Louisiana,Michigan,639
941,Louisiana,Minnesota,441
942,Louisiana,Mississippi,6028
943,Louisiana,Missouri,1432
944,Louisiana,Montana,142
945,Louisiana,Nebraska,255
